Wavenumber,RedSpruce_Abs,RedSpruce_Abs,RedSpruce_Abs,Lodgepole_Abs,Lodgepole_Abs,Lodgepole_Abs,GreenSpruce_Abs,GreenSpruce_Abs,GreenSpruce_Abs
835.9904,0.022052314,0.02105234,0.023337447,0.009569366,0.005153205,0.008049255,0.009587784,0.012420638,0.011527766
836.9546,0.016965106,0.016218561,0.018254806,0.007475768,0.003743513,0.006442847,0.006816213,0.00884305,0.008094986
837.9188,0.012760635,0.012198892,0.013959297,0.005580827,0.002596313,0.004939714,0.004592539,0.005904089,0.005372793
838.8831,0.009282059,0.008854701,0.01028798,0.003879441,0.001648106,0.003523099,0.002820288,0.003550723,0.003237878
839.8473,0.0063744,0.006051506,0.007117315,0.002397511,0.000869823,0.00222651,0.001441759,0.001759542,0.001620749
840.8115,0.003945637,0.003721279,0.004411493,0.001200082,0.000289254,0.00113421,0.000469141,0.000553899,0.000516805
841.7758,0.002011543,0.0018787,0.002237556,0.000379747,1.77E-15,0.000359751,3.50E-15,0,0
842.74,0.000650312,0.000603121,0.000717134,0,-8.84E-16,0,-3.50E-15,0,4.85E-16
843.7042,6.59E-16,5.60E-16,4.19E-10,3.48E-16,2.95E-16,-8.30E-16,0,5.17E-16,0
844.6685,1.32E-15,-5.60E-16,-5.20E-10,-1.04E-15,-1.47E-15,0,2.15E-15,-7.76E-16,-4.85E-16
845.6328,-6.59E-16,2.80E-16,3.36E-10,3.48E-16,5.89E-16,-8.30E-16,-6.73E-15,2.59E-16,-1.45E-15
846.597,0,-1.68E-15,-7.96E-10,-1.74E-15,5.89E-16,-4.15E-16,4.58E-15,-5.17E-16,0
847.5612,3.30E-16,1.12E-15,5.61E-10,6.95E-16,-3.24E-15,-4.15E-16,0.000750181,7.76E-16,-4.85E-16
848.5255,0.001206883,0.001103873,0.001225377,-2.78E-15,3.24E-15,0,0.002477594,0.000802158,0.000785702
849.4897,0.004005993,0.003702008,0.004099331,-3.48E-16,0.000344838,0,0.005206925,0.002689502,0.002625921
850.4539,0.008396826,0.007841057,0.008659572,0.000357756,0.001124588,0.000371251,0.008922926,0.005712563,0.005547046
851.4182,0.014256122,0.013438569,0.014810892,0.001168462,0.002311891,0.001182997,0.013544379,0.009826857,0.009500402
852.3824,0.021361931,0.020298363,0.022335022,0.002404056,0.00385956,0.002372285,0.018944617,0.014907105,0.014365124
853.3466,0.029429533,0.028134242,0.030926897,0.004002163,0.005699902,0.003857469,0.024974508,0.020782137,0.019968595
854.3109,0.038161863,0.036629745,0.040251116,0.005910427,0.007788572,0.005575729,0.031498499,0.027271467,0.026127722
855.2751,0.047302304,0.045514056,0.05001385,0.00813085,0.010127216,0.007535545,0.038434557,0.03423864,0.032704184
856.2393,0.056639981,0.054565528,0.059977871,0.010696253,0.012771271,0.009823831,0.045746089,0.041598183,0.03959868
857.2036,0.065993461,0.063625049,0.069956141,0.013669519,0.015797405,0.012561276,0.053404265,0.049286983,0.046745081
