Wavenumber,GreenSpruce_Abs,GreenSpruce_Abs,GreenSpruce_Abs,Lodgepole_Abs,Lodgepole_Abs,Lodgepole_Abs,RedSpruce_Abs,RedSpruce_Abs,RedSpruce_Abs
808.992,8.72E-02,2.49E-01,8.87E-02,2.62E-02,2.77E-02,3.17E-02,8.04E-02,5.95E-02,4.25E-02
809.956,8.09E-02,1.95E-01,6.59E-02,1.66E-02,2.58E-02,2.70E-02,6.99E-02,5.10E-02,3.05E-02
810.92,7.56E-02,1.50E-01,4.79E-02,9.46E-03,2.44E-02,2.40E-02,6.16E-02,4.43E-02,2.09E-02
811.885,7.12E-02,1.15E-01,3.45E-02,4.68E-03,2.36E-02,2.25E-02,5.53E-02,3.96E-02,1.38E-02
812.849,6.77E-02,8.75E-02,2.49E-02,1.84E-03,2.34E-02,2.24E-02,5.05E-02,3.66E-02,8.81E-03
813.813,6.48E-02,6.74E-02,1.86E-02,4.45E-04,2.34E-02,2.29E-02,4.69E-02,3.49E-02,5.57E-03
814.777,6.26E-02,5.32E-02,1.44E-02,4.29E-11,2.35E-02,2.34E-02,4.41E-02,3.41E-02,3.57E-03
815.742,6.08E-02,4.36E-02,1.15E-02,-8.62E-11,2.36E-02,2.34E-02,4.19E-02,3.38E-02,2.33E-03
816.706,5.94E-02,3.76E-02,9.24E-03,6.73E-11,2.33E-02,2.24E-02,4.00E-02,3.36E-02,1.47E-03
817.67,5.83E-02,3.43E-02,7.16E-03,-4.69E-11,2.28E-02,2.01E-02,3.84E-02,3.33E-02,7.88E-04
818.634,5.75E-02,3.32E-02,5.18E-03,2.29E-11,2.21E-02,1.68E-02,3.70E-02,3.26E-02,2.64E-04
819.598,5.68E-02,3.38E-02,3.41E-03,2.01E-04,2.13E-02,1.29E-02,3.56E-02,3.16E-02,1.00E-10
820.563,5.61E-02,3.59E-02,1.95E-03,7.51E-04,2.05E-02,8.91E-03,3.44E-02,3.03E-02,-2.01E-10
821.527,5.53E-02,3.91E-02,9.16E-04,1.69E-03,1.98E-02,5.36E-03,3.31E-02,2.89E-02,1.02E-10
822.491,5.42E-02,4.29E-02,2.89E-04,2.96E-03,1.91E-02,2.59E-03,3.19E-02,2.76E-02,3.63E-04
823.455,5.28E-02,4.68E-02,-6.26E-15,4.43E-03,1.86E-02,8.12E-04,3.07E-02,2.64E-02,1.13E-03
824.42,5.10E-02,5.00E-02,7.58E-15,5.91E-03,1.82E-02,2.40E-11,2.95E-02,2.55E-02,2.18E-03
825.384,4.87E-02,5.23E-02,3.11E-04,7.29E-03,1.81E-02,-2.64E-11,2.84E-02,2.48E-02,3.38E-03
826.348,4.59E-02,5.34E-02,9.66E-04,8.50E-03,1.83E-02,5.08E-04,2.75E-02,2.42E-02,4.58E-03
827.312,4.28E-02,5.32E-02,1.96E-03,9.52E-03,1.87E-02,1.30E-03,2.66E-02,2.36E-02,5.63E-03
828.277,3.93E-02,5.17E-02,3.21E-03,1.04E-02,1.91E-02,2.16E-03,2.55E-02,2.26E-02,6.35E-03
829.241,3.54E-02,4.91E-02,4.50E-03,1.10E-02,1.94E-02,2.92E-03,2.40E-02,2.10E-02,6.56E-03
830.205,3.11E-02,4.54E-02,5.53E-03,1.12E-02,1.92E-02,3.43E-03,2.20E-02,1.87E-02,6.16E-03
831.169,2.66E-02,4.06E-02,6.00E-03,1.11E-02,1.83E-02,3.58E-03,1.92E-02,1.58E-02,5.14E-03
832.134,2.19E-02,3.48E-02,5.75E-03,1.04E-02,1.65E-02,3.35E-03,1.58E-02,1.24E-02,3.66E-03
833.098,1.71E-02,2.84E-02,4.79E-03,9.18E-03,1.43E-02,2.80E-03,1.20E-02,9.04E-03,2.04E-03
834.062,1.26E-02,2.17E-02,3.37E-03,7.56E-03,1.17E-02,2.06E-03,8.30E-03,5.96E-03,6.92E-04
835.026,8.59E-03,1.52E-02,1.85E-03,5.73E-03,9.38E-03,1.30E-03,4.99E-03,3.44E-03,1.87E-10
835.99,5.18E-03,9.44E-03,6.16E-04,3.92E-03,7.42E-03,6.46E-04,2.41E-03,1.61E-03,-2.54E-10
836.955,2.55E-03,4.82E-03,2.31E-15,2.34E-03,5.96E-03,2.02E-04,7.29E-04,4.83E-04,9.26E-11
837.919,7.98E-04,1.62E-03,-3.30E-15,1.13E-03,4.91E-03,5.79E-11,4.71E-15,7.83E-16,-1.89E-10
838.883,0.00E+00,1.94E-15,-3.30E-16,3.43E-04,4.08E-03,-5.57E-11,-5.80E-15,-5.22E-16,1.62E-10
839.847,-5.88E-16,-2.42E-15,6.59E-16,8.34E-11,3.31E-03,1.92E-11,3.62E-15,5.22E-16,5.86E-04
840.812,0.00E+00,1.61E-03,-3.95E-15,-1.05E-10,2.52E-03,3.67E-11,-5.80E-15,-7.83E-16,1.84E-03
841.776,-5.88E-16,4.80E-03,3.30E-15,6.97E-11,1.75E-03,-1.78E-10,4.35E-15,2.61E-16,3.71E-03
842.74,0.00E+00,9.54E-03,4.75E-04,-1.59E-10,1.10E-03,1.22E-10,6.89E-04,-2.09E-15,6.16E-03
843.704,-5.88E-16,1.58E-02,1.39E-03,1.11E-10,6.38E-04,5.50E-04,2.27E-03,1.57E-15,9.17E-03
844.668,6.99E-04,2.35E-02,2.61E-03,5.47E-04,3.68E-04,1.77E-03,4.72E-03,5.71E-04,1.27E-02
845.633,2.19E-03,3.26E-02,4.01E-03,1.81E-03,2.06E-04,3.56E-03,7.99E-03,1.83E-03,1.65E-02
846.597,4.40E-03,4.30E-02,5.65E-03,3.80E-03,8.30E-05,5.76E-03,1.20E-02,3.79E-03,2.08E-02
847.561,7.31E-03,5.46E-02,7.77E-03,6.50E-03,1.03E-10,8.28E-03,1.69E-02,6.59E-03,2.55E-02
848.526,1.09E-02,6.75E-02,1.07E-02,9.93E-03,-2.05E-10,1.11E-02,2.25E-02,1.04E-02,3.10E-02
849.49,1.53E-02,8.18E-02,1.48E-02,1.41E-02,1.03E-10,1.43E-02,2.89E-02,1.53E-02,3.74E-02
850.454,2.04E-02,9.76E-02,2.02E-02,1.89E-02,6.20E-04,1.80E-02,3.62E-02,2.13E-02,4.50E-02
851.418,2.62E-02,1.15E-01,2.71E-02,2.43E-02,2.17E-03,2.24E-02,4.43E-02,2.82E-02,5.37E-02
852.382,3.25E-02,1.34E-01,3.51E-02,3.02E-02,4.67E-03,2.76E-02,5.30E-02,3.57E-02,6.36E-02
853.347,3.93E-02,1.54E-01,4.41E-02,3.66E-02,7.99E-03,3.35E-02,6.24E-02,4.35E-02,7.42E-02
854.311,4.65E-02,1.75E-01,5.36E-02,4.32E-02,1.19E-02,4.01E-02,7.21E-02,5.14E-02,8.51E-02
855.275,5.40E-02,1.98E-01,6.37E-02,5.01E-02,1.62E-02,4.74E-02,8.23E-02,5.94E-02,9.62E-02
856.239,6.19E-02,2.22E-01,7.44E-02,5.73E-02,2.08E-02,5.53E-02,9.29E-02,6.77E-02,1.07E-01
857.204,7.03E-02,2.47E-01,8.63E-02,6.52E-02,2.57E-02,6.40E-02,1.04E-01,7.66E-02,1.19E-01
858.168,7.93E-02,2.73E-01,9.96E-02,7.37E-02,3.12E-02,7.36E-02,1.16E-01,8.64E-02,1.31E-01
859.132,8.87E-02,3.01E-01,1.15E-01,8.32E-02,3.74E-02,8.41E-02,1.28E-01,9.71E-02,1.43E-01
860.096,9.86E-02,3.31E-01,1.31E-01,9.36E-02,4.42E-02,9.56E-02,1.41E-01,1.09E-01,1.57E-01
861.06,1.08E-01,3.62E-01,1.49E-01,1.05E-01,5.15E-02,1.08E-01,1.55E-01,1.20E-01,1.71E-01
862.025,1.18E-01,3.94E-01,1.67E-01,1.16E-01,5.92E-02,1.21E-01,1.68E-01,1.32E-01,1.85E-01
862.989,1.28E-01,4.27E-01,1.85E-01,1.28E-01,6.68E-02,1.34E-01,1.81E-01,1.44E-01,2.00E-01
863.953,1.37E-01,4.60E-01,2.03E-01,1.40E-01,7.44E-02,1.48E-01,1.94E-01,1.55E-01,2.14E-01
864.917,1.47E-01,4.93E-01,2.20E-01,1.51E-01,8.17E-02,1.63E-01,2.07E-01,1.67E-01,2.29E-01
865.882,1.56E-01,5.27E-01,2.37E-01,1.63E-01,8.89E-02,1.78E-01,2.20E-01,1.78E-01,2.43E-01
866.846,1.65E-01,5.62E-01,2.55E-01,1.74E-01,9.62E-02,1.96E-01,2.34E-01,1.90E-01,2.57E-01
867.81,1.75E-01,5.97E-01,2.74E-01,1.86E-01,1.04E-01,2.15E-01,2.47E-01,2.02E-01,2.71E-01
868.774,1.84E-01,6.32E-01,2.95E-01,1.97E-01,1.11E-01,2.36E-01,2.60E-01,2.15E-01,2.86E-01
869.739,1.94E-01,6.68E-01,3.17E-01,2.09E-01,1.19E-01,2.59E-01,2.74E-01,2.27E-01,3.01E-01
870.703,2.04E-01,7.04E-01,3.41E-01,2.22E-01,1.26E-01,2.85E-01,2.87E-01,2.40E-01,3.16E-01
871.667,2.14E-01,7.39E-01,3.66E-01,2.35E-01,1.34E-01,3.14E-01,3.00E-01,2.52E-01,3.32E-01
872.631,2.25E-01,7.73E-01,3.92E-01,2.48E-01,1.41E-01,3.44E-01,3.14E-01,2.65E-01,3.48E-01
873.596,2.35E-01,8.07E-01,4.18E-01,2.61E-01,1.50E-01,3.77E-01,3.28E-01,2.78E-01,3.64E-01
874.56,2.46E-01,8.40E-01,4.44E-01,2.75E-01,1.59E-01,4.10E-01,3.42E-01,2.90E-01,3.81E-01
875.524,2.58E-01,8.72E-01,4.68E-01,2.89E-01,1.68E-01,4.44E-01,3.56E-01,3.03E-01,3.98E-01
876.488,2.69E-01,9.03E-01,4.92E-01,3.04E-01,1.79E-01,4.76E-01,3.70E-01,3.16E-01,4.15E-01
877.452,2.80E-01,9.33E-01,5.14E-01,3.19E-01,1.90E-01,5.05E-01,3.84E-01,3.29E-01,4.32E-01
878.417,2.92E-01,9.60E-01,5.34E-01,3.35E-01,2.01E-01,5.29E-01,3.98E-01,3.41E-01,4.48E-01
879.381,3.03E-01,9.86E-01,5.52E-01,3.50E-01,2.12E-01,5.47E-01,4.12E-01,3.52E-01,4.64E-01
880.345,3.14E-01,1.01E+00,5.67E-01,3.66E-01,2.24E-01,5.58E-01,4.25E-01,3.64E-01,4.79E-01
881.309,3.24E-01,1.03E+00,5.81E-01,3.83E-01,2.35E-01,5.62E-01,4.38E-01,3.75E-01,4.94E-01
882.274,3.35E-01,1.06E+00,5.92E-01,3.99E-01,2.47E-01,5.60E-01,4.51E-01,3.86E-01,5.09E-01
883.238,3.46E-01,1.08E+00,6.02E-01,4.16E-01,2.59E-01,5.53E-01,4.63E-01,3.96E-01,5.23E-01
884.202,3.56E-01,1.10E+00,6.09E-01,4.32E-01,2.71E-01,5.44E-01,4.75E-01,4.07E-01,5.37E-01
885.166,3.66E-01,1.12E+00,6.15E-01,4.49E-01,2.83E-01,5.32E-01,4.86E-01,4.17E-01,5.50E-01
886.131,3.75E-01,1.15E+00,6.21E-01,4.64E-01,2.94E-01,5.19E-01,4.96E-01,4.26E-01,5.61E-01
887.095,3.84E-01,1.17E+00,6.26E-01,4.80E-01,3.05E-01,5.06E-01,5.06E-01,4.35E-01,5.72E-01
888.059,3.91E-01,1.19E+00,6.32E-01,4.95E-01,3.16E-01,4.95E-01,5.15E-01,4.43E-01,5.81E-01
889.023,3.98E-01,1.22E+00,6.40E-01,5.10E-01,3.26E-01,4.85E-01,5.23E-01,4.51E-01,5.90E-01
889.988,4.05E-01,1.24E+00,6.49E-01,5.25E-01,3.35E-01,4.78E-01,5.31E-01,4.58E-01,5.98E-01
890.952,4.11E-01,1.27E+00,6.60E-01,5.39E-01,3.45E-01,4.73E-01,5.39E-01,4.66E-01,6.05E-01
891.916,4.18E-01,1.30E+00,6.73E-01,5.54E-01,3.55E-01,4.70E-01,5.47E-01,4.74E-01,6.13E-01
892.88,4.24E-01,1.33E+00,6.86E-01,5.68E-01,3.64E-01,4.69E-01,5.55E-01,4.82E-01,6.21E-01
